# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;blikk.hu;no;N/A;2;1
2;index.hu;yes;yes;2;0
3;origo.hu;yes;yes;3;2
4;24.hu;no;N/A;4;4
5;portfolio.hu;no;N/A;2;1
6;telex.hu;yes;yes;2;2
7;femina.hu;yes;yes;2;0
8;444.hu;yes;yes;2;2
9;hvg.hu;yes;yes;2;2
10;idokep.hu;no;N/A;4;1
11;nlc.hu;no;N/A;4;4
12;borsonline.hu;no;N/A;2;2
13;penzcentrum.hu;no;N/A;2;1
14;mandiner.hu;no;N/A;2;2
15;napi.hu;yes;yes;2;2
16;infostart.hu;no;N/A;2;0
17;promotions.hu;no;N/A;2;0
18;atv.hu;no;N/A;3;0
19;nosalty.hu;no;N/A;4;4
20;vg.hu;no;N/A;2;2
21;ripost.hu;yes;yes;2;2
22;startlap.hu;no;N/A;4;4
23;magyarnemzet.hu;yes;yes;2;2
24;hirado.hu;no;N/A;2;1
25;szeretlekmagyarorszag.hu;yes;yes;2;2
26;jofogas.hu;no;N/A;2;1
27;videa.hu;yes;yes;2;0
28;nepszava.hu;yes;yes;2;2
29;life.hu;yes;yes;3;2
30;freemail.hu;no;N/A;2;0
31;hasznaltauto.hu;no;N/A;2;1
32;agrarszektor.hu;no;N/A;2;1
33;vezess.hu;no;N/A;4;4
34;mindmegette.hu;no;N/A;2;2
35;cosmopolitan.hu;no;N/A;3;0
36;liner.hu;yes;yes;2;2
37;hazipatika.com;no;N/A;4;4
38;port.hu;no;N/A;2;0
39;168.hu;no;N/A;3;0
40;rtl.hu;yes;yes;2;0
41;nemzetisport.hu;no;N/A;2;2
42;tenyek.hu;no;N/A;2;0
43;hirtv.hu;no;N/A;3;2
44;glamour.hu;no;N/A;2;0
45;tv2play.hu;no;N/A;2;0
46;blog.hu;no;N/A;2;0
47;totalcar.hu;no;N/A;2;0
48;evamagazin.hu;no;N/A;2;0
49;ingatlan.com;yes;no;2;2
50;menetrendek.hu;no;N/A;2;2
51;femcafe.hu;no;N/A;3;3
52;noizz.hu;no;N/A;4;4
53;ign.hu;no;N/A;3;0
54;eredmenyek.com;no;N/A;3;3
55;metropol.hu;no;N/A;2;2
56;joy.hu;no;N/A;2;0
57;mfor.hu;no;N/A;2;0
58;privatbankar.hu;no;N/A;2;0
59;hirstart.hu;no;N/A;4;4
60;g7.hu;no;N/A;3;0
61;divany.hu;no;N/A;2;0
62;indavideo.hu;no;N/A;2;0
63;budapestkornyeke.hu;yes;yes;2;2
64;atlatszo.hu;yes;yes;2;2
65;m4sport.hu;no;N/A;2;1
66;azonnali.hu;no;N/A;2;2
67;player.hu;no;N/A;2;0
68;koponyeg.hu;no;N/A;3;2
69;agroinform.hu;no;N/A;4;0
70;mafab.hu;yes;yes;2;2
71;keresztlabda.hu;no;N/A;3;0
72;csaladinet.hu;no;N/A;2;0
73;kisalfold.hu;yes;yes;2;2
74;jobbmintatv.hu;no;N/A;2;0
75;vatera.hu;no;N/A;3;0
76;egeszsegkalauz.hu;no;N/A;2;0
77;webbeteg.hu;yes;yes;2;2
78;streetkitchen.hu;no;N/A;3;2
79;startlak.hu;no;N/A;2;2
80;hang.hu;no;N/A;2;0
81;profession.hu;no;N/A;2;0
82;citromail.hu;no;N/A;4;4
83;propeller.hu;yes;yes;2;2
84;wmn.hu;yes;yes;2;2
85;mediaklikk.hu;no;N/A;2;1
86;szon.hu;yes;yes;2;2
87;5percblog.hu;yes;yes;2;2
88;nyugat.hu;yes;yes;2;2
89;elle.hu;no;N/A;2;0
90;sorozatbarat.online;yes;yes;2;2
91;sobors.hu;no;N/A;2;0
92;minden-egyben.com;no;N/A;2;0
93;alfahir.hu;yes;yes;2;2
94;hellovidek.hu;no;N/A;2;1
95;filantropikum.com;no;N/A;3;0
96;pestisracok.hu;no;N/A;2;2
97;888.hu;yes;yes;2;2
98;harmonikum.co;yes;yes;2;2
99;bien.hu;yes;yes;2;2
100;noklapja.hu;no;N/A;4;4
101;roadster.hu;no;N/A;2;0
102;zaol.hu;yes;yes;2;2
103;velvet.hu;no;N/A;2;0
104;ittlakunk.hu;no;N/A;2;2
105;hamuesgyemant.hu;no;N/A;3;0
106;csakfoci.hu;no;N/A;2;0
107;beol.hu;yes;yes;2;2
