# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;blikk.hu;no;N/A;2;1
2;origo.hu;yes;yes;3;2
3;index.hu;yes;yes;2;0
4;24.hu;no;N/A;4;4
5;idokep.hu;no;N/A;4;1
6;borsonline.hu;no;N/A;2;2
7;nlc.hu;no;N/A;4;4
8;hvg.hu;yes;yes;2;2
9;femina.hu;yes;yes;2;0
10;portfolio.hu;no;N/A;2;1
11;telex.hu;yes;yes;2;2
12;penzcentrum.hu;no;N/A;2;1
13;life.hu;yes;yes;3;2
14;ripost.hu;yes;yes;2;2
15;444.hu;yes;yes;2;2
16;promotions.hu;no;N/A;2;0
17;vezess.hu;no;N/A;4;4
18;freemail.hu;no;N/A;2;0
19;startlap.hu;no;N/A;4;4
20;napi.hu;yes;yes;2;2
21;nemzetisport.hu;no;N/A;2;2
22;nosalty.hu;no;N/A;4;4
23;hasznaltauto.hu;no;N/A;2;1
24;jofogas.hu;no;N/A;2;1
25;tenyek.hu;no;N/A;2;0
26;rtl.hu;yes;yes;2;0
27;hirado.hu;no;N/A;2;1
28;videa.hu;yes;yes;2;0
29;mandiner.hu;no;N/A;2;2
30;femcafe.hu;no;N/A;3;3
31;mindmegette.hu;no;N/A;2;2
32;szeretlekmagyarorszag.hu;yes;yes;2;2
33;kiskegyed.hu;no;N/A;2;0
34;noizz.hu;no;N/A;4;4
35;atv.hu;no;N/A;4;4
36;ingatlan.com;yes;no;2;2
37;168.hu;no;N/A;3;0
38;hazipatika.com;no;N/A;4;4
39;infostart.hu;no;N/A;2;0
40;port.hu;no;N/A;2;0
41;menetrendek.hu;no;N/A;2;2
42;totalcar.hu;no;N/A;2;0
43;joy.hu;no;N/A;2;0
44;divany.hu;no;N/A;2;0
45;koponyeg.hu;no;N/A;3;2
46;szon.hu;yes;yes;2;2
47;vg.hu;no;N/A;2;2
48;agrarszektor.hu;no;N/A;2;1
49;nepszava.hu;yes;yes;2;2
50;babaszoba.hu;no;N/A;3;0
51;webbeteg.hu;yes;yes;2;2
52;eredmenyek.com;no;N/A;3;3
53;blog.hu;no;N/A;2;0
54;agroinform.hu;no;N/A;4;0
55;hirtv.hu;no;N/A;3;2
56;m4sport.hu;no;N/A;2;1
57;hamuesgyemant.hu;no;N/A;3;0
58;egeszsegkalauz.hu;no;N/A;2;0
59;liner.hu;yes;yes;2;2
60;player.hu;no;N/A;2;0
61;elle.hu;no;N/A;2;0
62;glamour.hu;no;N/A;2;0
63;profession.hu;no;N/A;2;0
64;citromail.hu;no;N/A;4;4
65;mfor.hu;no;N/A;2;0
66;azonnali.hu;no;N/A;2;2
67;hirstart.hu;no;N/A;4;4
68;minden-egyben.com;no;N/A;2;0
69;magyarnemzet.hu;yes;yes;2;2
70;kekvillogo.hu;yes;yes;2;2
71;ign.hu;no;N/A;3;0
72;csakfoci.hu;no;N/A;2;0
73;story.hu;no;N/A;3;0
74;evamagazin.hu;no;N/A;2;0
75;sorozatbarat.online;yes;yes;2;2
