# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;blikk.hu;no;N/A;2;2
2;origo.hu;yes;yes;2;2
3;index.hu;yes;yes;2;0
4;24.hu;yes;yes;4;4
5;idokep.hu;yes;yes;4;1
6;telex.hu;yes;yes;2;2
7;femina.hu;yes;yes;2;0
8;portfolio.hu;no;N/A;2;1
9;borsonline.hu;no;N/A;2;2
10;kiskegyed.hu;no;N/A;2;0
11;nlc.hu;no;N/A;4;4
12;ripost.hu;yes;yes;2;2
13;mindmegette.hu;no;N/A;2;2
14;videa.hu;yes;yes;2;2
15;nosalty.hu;no;N/A;4;4
16;rtl.hu;yes;yes;2;0
17;freemail.hu;no;N/A;2;2
18;penzcentrum.hu;no;N/A;2;1
19;444.hu;yes;yes;2;2
20;jofogas.hu;no;N/A;2;1
21;hvg.hu;yes;yes;2;2
22;hasznaltauto.hu;no;N/A;2;1
23;metropol.hu;no;N/A;2;2
24;mandiner.hu;no;N/A;2;2
25;startlap.hu;no;N/A;4;4
26;nemzetisport.hu;no;N/A;2;2
27;menetrendek.hu;no;N/A;2;2
28;tenyek.hu;no;N/A;2;0
29;eredmenyek.com;no;N/A;3;3
30;infostart.hu;no;N/A;2;0
31;hazipatika.com;no;N/A;4;4
32;atv.hu;yes;yes;2;2
33;vezess.hu;no;N/A;4;4
34;szeretlekmagyarorszag.hu;yes;yes;2;2
35;femcafe.hu;yes;yes;2;2
36;magyarnemzet.hu;yes;yes;2;2
37;port.hu;no;N/A;2;0
38;divany.hu;no;N/A;2;0
39;life.hu;yes;yes;2;2
40;vg.hu;no;N/A;2;2
41;hirado.hu;no;N/A;2;1
42;napi.hu;yes;yes;2;2
43;profession.hu;no;N/A;2;0
44;joy.hu;no;N/A;2;0
45;glamour.hu;no;N/A;2;0
46;elle.hu;no;N/A;2;0
47;jobbmintatv.online;no;N/A;2;0
48;kekvillogo.hu;yes;yes;2;2
49;egeszsegkalauz.hu;no;N/A;2;0
50;agroinform.hu;no;N/A;4;0
51;m4sport.hu;no;N/A;2;1
52;marieclaire.hu;no;N/A;3;0
53;koponyeg.hu;no;N/A;2;2
54;liner.hu;yes;yes;2;2
55;sobors.hu;no;N/A;2;0
56;ign.hu;no;N/A;3;0
57;mafab.hu;yes;yes;2;2
58;totalcar.hu;no;N/A;2;0
59;budapestkornyeke.hu;yes;yes;2;2
60;velvet.hu;no;N/A;2;0
61;blog.hu;no;N/A;2;0
62;agrarszektor.hu;no;N/A;2;1
63;twn.hu;no;N/A;2;0
64;minden-egyben.com;no;N/A;2;0
65;receptneked.hu;no;N/A;3;3
66;webbeteg.hu;yes;yes;2;2
67;cosmopolitan.hu;no;N/A;2;0
68;csakfoci.hu;no;N/A;2;0
69;tv2play.hu;no;N/A;2;0
70;vatera.hu;no;N/A;3;0
71;nepszava.hu;yes;yes;2;2
72;mfor.hu;no;N/A;2;0
73;player.hu;yes;yes;2;2
74;sorozatbarat.online;yes;yes;2;2
75;tudnodkell.info;yes;no;1;1
76;hirstart.hu;no;N/A;4;4
77;story.hu;no;N/A;3;0
78;twice.hu;no;N/A;3;0
79;hellovidek.hu;no;N/A;2;1
80;musor.tv;no;N/A;3;0
81;astronet.hu;no;N/A;2;2
82;haon.hu;yes;yes;2;2
83;wmn.hu;yes;yes;2;2
84;noizz.hu;no;N/A;4;4
85;privatbankar.hu;no;N/A;2;0
86;boon.hu;yes;yes;2;2
87;168.hu;no;N/A;3;0
88;bien.hu;yes;yes;2;2
89;filantropikum.com;no;N/A;3;0
90;forbes.hu;no;N/A;4;4
91;topszotar.hu;no;N/A;2;0
92;kisalfold.hu;yes;yes;2;2
93;szoljon.hu;yes;yes;2;2
94;leet.hu;no;N/A;2;2
95;otpotthon.hu;no;N/A;4;4
96;nuus.hu;yes;yes;2;2
97;szon.hu;yes;yes;2;2
98;magyarhirlap.hu;yes;no;2;2
99;roadster.hu;yes;yes;2;2
100;propeller.hu;yes;yes;2;2
101;indavideo.hu;no;N/A;2;0
102;noklapja.hu;no;N/A;4;4
103;eurosport.hu;no;N/A;4;4
104;gmail.hu;yes;yes;2;2
105;kemma.hu;yes;yes;2;2
106;feol.hu;yes;yes;2;2
107;instyle.hu;no;N/A;2;0
108;nb1.hu;no;N/A;4;0
109;gyerekszoba.hu;yes;yes;2;2
110;rtlmost.hu;no;N/A;4;0
111;raketa.hu;no;N/A;2;0
112;programturizmus.hu;no;N/A;2;1
113;profitline.hu;no;N/A;2;0
114;bookline.hu;no;N/A;5;2
115;pestisracok.hu;yes;no;2;2
116;bama.hu;yes;yes;2;2
117;hirtv.hu;no;N/A;3;2
118;hu.motorsport.com;no;N/A;1;1
119;heol.hu;yes;yes;2;2
120;evamagazin.hu;no;N/A;2;0
121;retikul.hu;yes;yes;2;2
122;gamestar.hu;no;N/A;2;0
123;media1.hu;yes;yes;2;2
124;harmonikum.co;yes;yes;2;2
125;joautok.hu;no;N/A;2;2
126;sport365.hu;no;N/A;4;0
127;klubradio.hu;no;N/A;3;2
128;welovebudapest.com;no;N/A;2;0
129;teol.hu;yes;yes;2;2
130;mediaklikk.hu;no;N/A;2;1
131;sussfelnap.hu;no;N/A;2;0
132;veol.hu;yes;yes;2;2
133;delmagyar.hu;yes;yes;2;2
134;randivonal.hu;no;N/A;2;0
135;onmov.me;no;N/A;2;2
136;ulloi129.hu;no;N/A;2;2
137;csaladinet.hu;no;N/A;3;1
138;ingatlanbazar.hu;no;N/A;2;2
139;tozsdeforum.hu;no;N/A;2;2
