# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;blikk.hu;no;N/A;2;1
2;24.hu;no;N/A;4;4
3;index.hu;yes;yes;2;0
4;origo.hu;yes;yes;3;2
5;femina.hu;yes;yes;2;0
6;ripost.hu;yes;yes;2;2
7;nlc.hu;no;N/A;4;4
8;portfolio.hu;no;N/A;2;1
9;borsonline.hu;no;N/A;2;2
10;telex.hu;yes;yes;2;2
11;mindmegette.hu;no;N/A;2;2
12;penzcentrum.hu;no;N/A;2;1
13;nosalty.hu;no;N/A;4;4
14;life.hu;yes;yes;3;2
15;hvg.hu;yes;yes;2;2
16;rtl.hu;yes;yes;2;0
17;jofogas.hu;no;N/A;2;1
18;idokep.hu;no;N/A;4;1
19;promotions.hu;no;N/A;2;0
20;tenyek.hu;no;N/A;2;0
21;hazipatika.com;no;N/A;4;4
22;444.hu;yes;yes;2;2
23;napi.hu;yes;yes;2;2
24;egeszsegkalauz.hu;no;N/A;2;0
25;vezess.hu;no;N/A;4;4
26;szeretlekmagyarorszag.hu;yes;yes;2;2
27;kiskegyed.hu;no;N/A;2;0
28;noizz.hu;no;N/A;4;4
29;hirado.hu;no;N/A;2;1
30;atv.hu;no;N/A;4;4
31;port.hu;no;N/A;2;0
32;hasznaltauto.hu;no;N/A;2;1
33;vg.hu;no;N/A;2;2
34;webbeteg.hu;yes;yes;2;2
35;startlap.hu;no;N/A;4;4
36;videa.hu;yes;yes;2;0
37;ingatlan.com;yes;no;2;2
38;168.hu;no;N/A;3;0
39;blog.hu;no;N/A;2;0
40;glamour.hu;no;N/A;2;0
41;player.hu;no;N/A;2;0
42;metropol.hu;no;N/A;2;2
43;hirtv.hu;no;N/A;3;2
44;joy.hu;no;N/A;2;0
45;elle.hu;no;N/A;2;0
46;infostart.hu;no;N/A;2;0
47;filantropikum.com;no;N/A;3;0
48;divany.hu;no;N/A;2;0
49;magyarnemzet.hu;yes;yes;2;2
50;nepszava.hu;yes;yes;2;2
51;femcafe.hu;no;N/A;3;3
52;velvet.hu;no;N/A;2;0
53;mafab.hu;yes;yes;2;2
54;liner.hu;yes;yes;2;2
55;budapestkornyeke.hu;yes;yes;2;2
56;mandiner.hu;no;N/A;2;2
57;agroinform.hu;no;N/A;4;0
58;menetrendek.hu;no;N/A;2;2
59;agrarszektor.hu;no;N/A;2;1
60;programturizmus.hu;no;N/A;2;1
61;m4sport.hu;no;N/A;2;1
62;sobors.hu;no;N/A;2;0
63;kekvillogo.hu;yes;no;2;2
