# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;blikk.hu;no;N/A;2;2
2;index.hu;yes;yes;2;0
3;origo.hu;yes;yes;2;2
4;idokep.hu;yes;yes;2;2
5;24.hu;yes;yes;4;4
6;kiskegyed.hu;no;N/A;2;0
7;telex.hu;yes;yes;2;2
8;femina.hu;yes;yes;2;0
9;borsonline.hu;no;N/A;2;2
10;portfolio.hu;no;N/A;2;1
11;ripost.hu;yes;yes;2;2
12;videa.hu;yes;yes;2;2
13;444.hu;yes;yes;2;2
14;hvg.hu;yes;yes;2;2
15;nlc.hu;no;N/A;4;4
16;penzcentrum.hu;no;N/A;2;1
17;freemail.hu;no;N/A;2;2
18;rtl.hu;yes;yes;2;0
19;mandiner.hu;no;N/A;2;2
20;hasznaltauto.hu;no;N/A;2;1
21;mindmegette.hu;no;N/A;2;2
22;jofogas.hu;no;N/A;2;1
23;nosalty.hu;no;N/A;4;4
24;startlap.hu;no;N/A;4;4
25;magyarnemzet.hu;yes;yes;2;2
26;metropol.hu;no;N/A;2;2
27;menetrendek.hu;no;N/A;2;2
28;nemzetisport.hu;no;N/A;2;2
29;infostart.hu;no;N/A;2;0
30;napi.hu;yes;yes;2;2
31;eredmenyek.com;no;N/A;3;3
32;hazipatika.com;no;N/A;4;4
33;atv.hu;yes;yes;2;2
34;divany.hu;no;N/A;2;0
35;port.hu;no;N/A;2;0
36;vezess.hu;no;N/A;4;4
37;hirado.hu;no;N/A;2;1
38;profession.hu;no;N/A;2;0
39;szeretlekmagyarorszag.hu;yes;yes;2;2
40;vg.hu;no;N/A;2;2
41;egeszsegkalauz.hu;no;N/A;2;0
42;tenyek.hu;no;N/A;2;0
43;mfor.hu;yes;yes;2;2
44;168.hu;no;N/A;3;0
45;mafab.hu;yes;yes;2;2
46;nepszava.hu;yes;no;2;2
47;marieclaire.hu;no;N/A;3;0
48;elle.hu;no;N/A;2;0
49;agroinform.hu;no;N/A;4;0
50;m4sport.hu;no;N/A;2;1
51;glamour.hu;no;N/A;2;0
52;sobors.hu;no;N/A;2;0
53;ign.hu;no;N/A;3;0
54;life.hu;yes;yes;2;2
55;csakfoci.hu;no;N/A;2;0
56;magyarhirlap.hu;yes;no;2;2
57;story.hu;no;N/A;3;0
58;joy.hu;no;N/A;2;0
59;koponyeg.hu;no;N/A;2;2
60;privatbankar.hu;no;N/A;2;0
61;kekvillogo.hu;yes;yes;2;2
62;jobbmintatv.online;no;N/A;2;0
63;femcafe.hu;yes;yes;2;2
64;totalcar.hu;no;N/A;2;0
65;sorozatbarat.club;yes;yes;2;2
66;budapestkornyeke.hu;yes;yes;2;2
67;liner.hu;yes;yes;2;2
68;minden-egyben.com;no;N/A;2;0
69;agrarszektor.hu;no;N/A;2;1
70;twn.hu;no;N/A;2;0
71;receptneked.hu;no;N/A;3;3
72;hirstart.hu;no;N/A;4;4
73;haon.hu;yes;yes;2;2
74;vatera.hu;no;N/A;3;0
75;noklapja.hu;no;N/A;4;4
76;eurosport.hu;no;N/A;4;4
77;twice.hu;no;N/A;2;0
78;nyugat.hu;yes;no;2;2
79;astronet.hu;no;N/A;2;2
80;webbeteg.hu;yes;yes;2;2
81;cosmopolitan.hu;no;N/A;2;0
82;blog.hu;no;N/A;2;0
83;nb1.hu;no;N/A;4;0
84;bien.hu;yes;yes;2;2
85;player.hu;yes;yes;2;2
86;otpotthon.hu;no;N/A;4;4
87;forbes.hu;yes;yes;2;2
88;hellovidek.hu;no;N/A;2;1
89;velvet.hu;no;N/A;2;0
90;musor.tv;no;N/A;3;0
91;goal.com;no;N/A;4;4
92;leet.hu;yes;yes;2;2
93;filantropikum.com;no;N/A;2;0
94;tudnodkell.info;yes;no;1;1
95;nuus.hu;yes;yes;2;2
96;hang.hu;no;N/A;2;0
97;heol.hu;yes;yes;2;2
98;indavideo.hu;no;N/A;2;0
99;boon.hu;yes;yes;2;2
100;profitline.hu;no;N/A;2;0
101;szon.hu;yes;yes;2;2
102;kisalfold.hu;yes;yes;2;2
103;teol.hu;yes;yes;2;2
104;roadster.hu;yes;yes;2;2
105;propeller.hu;yes;yes;2;2
106;kemma.hu;yes;yes;2;2
107;topszotar.hu;no;N/A;2;0
108;noizz.hu;no;N/A;4;4
109;welovebudapest.com;no;N/A;2;0
110;gmail.hu;yes;yes;2;2
111;g7.hu;yes;yes;2;2
112;sport365.hu;no;N/A;4;0
113;csaladinet.hu;no;N/A;3;1
114;klubradio.hu;no;N/A;3;2
115;wmn.hu;yes;yes;2;2
116;hirklikk.hu;no;N/A;2;0
117;gyerekszoba.hu;yes;yes;2;2
118;pestisracok.hu;yes;yes;2;2
119;hu.motorsport.com;no;N/A;1;1
120;ulloi129.hu;no;N/A;2;2
121;koltozzbe.hu;no;N/A;2;1
122;sassy.hu;yes;yes;2;2
123;5percblog.hu;yes;yes;2;2
124;bookline.hu;no;N/A;5;2
125;delmagyar.hu;yes;yes;2;2
126;qubit.hu;yes;yes;2;2
127;sussfelnap.hu;no;N/A;2;0
128;bama.hu;yes;yes;2;2
129;villanyautosok.hu;yes;yes;2;2
130;hirtv.hu;no;N/A;3;2
131;joautok.hu;no;N/A;2;2
132;vaol.hu;yes;yes;2;2
133;autonavigator.hu;no;N/A;2;1
134;mediaklikk.hu;no;N/A;2;1
135;magyarnarancs.hu;no;N/A;2;0
136;idokep.eu;yes;yes;2;2
137;randivonal.hu;no;N/A;2;0
138;zaol.hu;yes;yes;2;2
139;azenkutyam.hu;yes;yes;2;2
140;feol.hu;yes;yes;2;2
141;beol.hu;yes;yes;2;2
142;programturizmus.hu;no;N/A;2;1
143;dictzone.com;yes;yes;2;2
144;nemzeticegtar.hu;no;N/A;3;0
145;baon.hu;yes;yes;2;2
146;rtlmost.hu;no;N/A;4;4
147;pcworld.hu;no;N/A;2;0
148;eduline.hu;yes;yes;2;2
149;hobbikert.hu;no;N/A;3;0
150;akcios-ujsag.hu;no;N/A;4;4
151;szoljon.hu;yes;yes;2;2
152;piacesprofit.hu;yes;yes;2;2
153;media1.hu;yes;no;2;2
154;meglepetes.hu;yes;yes;2;2
155;retikul.hu;yes;yes;2;2
156;gamestar.hu;no;N/A;2;0
157;etcetera.hu;no;N/A;3;0
158;rallycafe.hu;yes;yes;2;2
159;ingatlanbazar.hu;no;N/A;2;2
160;evamagazin.hu;no;N/A;2;0
161;hrportal.hu;yes;yes;2;2
162;ittlakunk.hu;no;N/A;2;2
163;harmonikum.co;yes;yes;2;2
164;sonline.hu;yes;yes;2;2
165;napidroid.hu;no;N/A;2;0
166;hu.motor1.com;no;N/A;1;1
167;veol.hu;yes;yes;2;2
168;ceginformacio.hu;no;N/A;2;2
169;tozsdeforum.hu;yes;yes;2;2
170;egy.hu;no;N/A;3;3
171;travelo.hu;yes;yes;2;2
172;firstclass.hu;no;N/A;3;0
173;utazomajom.hu;no;N/A;2;2
174;acnews.hu;no;N/A;3;3
175;agroforum.hu;no;N/A;2;0
176;raketa.hu;no;N/A;2;0
177;goodstuff.hu;no;N/A;3;0
178;colore.hu;no;N/A;2;0
179;libri.hu;no;N/A;5;2
180;termalfurdo.hu;yes;yes;2;2
181;adozona.hu;yes;yes;2;2
182;formula.hu;no;N/A;3;0
183;ingatlantajolo.hu;yes;yes;2;2
184;onmov.me;no;N/A;2;2
185;kremmania.hu;no;N/A;4;4
186;maxapro.hu;no;N/A;2;2
187;alapjarat.hu;yes;yes;2;2
188;csodalatosmagyarorszag.hu;no;N/A;3;0
189;instyle.hu;no;N/A;2;0
190;esport1.hu;no;N/A;4;0
191;tv2play.hu;no;N/A;2;0
192;eumet.hu;no;N/A;3;2
193;parom.hu;yes;yes;2;2
194;nool.hu;yes;yes;2;2
195;bankmonitor.hu;no;N/A;4;4
196;racingline.hu;yes;yes;2;2
197;angol-magyar-szotar.hu;no;N/A;2;0
198;turistamagazin.hu;no;N/A;3;3
199;utvonalterv.hu;no;N/A;3;0
200;igazino.hu;yes;yes;3;3
201;holtankoljak.hu;no;N/A;2;2
202;videolista.hu;no;N/A;2;0
203;duol.hu;yes;yes;2;2
204;papasmamasmagazin.hu;no;N/A;2;0
205;mult-kor.hu;yes;yes;2;2
206;kep-vilag.hu;no;N/A;2;0
207;azenmacskam.hu;yes;yes;2;2
208;alternativenergia.hu;no;N/A;2;0
209;igenyesferfi.hu;yes;yes;2;2
210;edenkert.hu;no;N/A;3;2
211;woohoo.hu;no;N/A;4;0
212;cookta.hu;no;N/A;2;0
213;filmsor.hu;no;N/A;3;0
214;autoszektor.hu;no;N/A;2;2
215;holdpont.hu;no;N/A;3;0
216;ezoworld.hu;no;N/A;3;0
217;retroradio.hu;no;N/A;2;0
218;helyesiras.mta.hu;no;N/A;1;1
219;likebalaton.hu;no;N/A;2;2
220;sorozatwiki.hu;yes;yes;2;2
221;autoalkatresz.hu;no;N/A;2;1
222;szuloklapja.hu;no;N/A;3;0
223;f1vilag.hu;no;N/A;2;2
224;reblog.hu;yes;yes;2;2
225;pcguru.hu;no;N/A;2;0
226;welovebalaton.hu;no;N/A;2;0
227;szol24.hu;yes;yes;2;2
228;borsod24.hu;yes;yes;2;2
229;szegeder.hu;no;N/A;4;0
230;secretstories.hu;yes;yes;3;3
231;avilagtitkai.com;yes;yes;2;2
232;foglaljorvost.hu;no;N/A;3;0
233;cafeblog.hu;no;N/A;3;0
234;kirandulastippek.hu;no;N/A;2;0
235;trekhunt.com;no;N/A;2;2
236;g-portal.hu;no;N/A;2;2
237;jobline.hu;yes;yes;2;2
238;puliwood.hu;no;N/A;3;2
