# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;24.hu;yes;yes;4;4
2;blikk.hu;no;N/A;2;2
3;origo.hu;yes;no;2;2
4;index.hu;yes;yes;2;0
5;femina.hu;yes;yes;2;0
6;mindmegette.hu;no;N/A;2;2
7;nosalty.hu;no;N/A;4;4
8;nlc.hu;no;N/A;4;4
9;portfolio.hu;no;N/A;2;1
10;borsonline.hu;no;N/A;2;2
11;ripost.hu;yes;yes;2;2
12;penzcentrum.hu;no;N/A;2;1
13;telex.hu;yes;yes;2;2
14;promotions.hu;no;N/A;2;0
15;life.hu;yes;no;2;2
16;kiskegyed.hu;no;N/A;2;0
17;hazipatika.com;no;N/A;4;4
18;hvg.hu;yes;yes;2;2
19;rtl.hu;yes;yes;2;0
20;vezess.hu;no;N/A;4;4
21;szeretlekmagyarorszag.hu;yes;yes;2;2
22;startlap.hu;no;N/A;4;4
23;jofogas.hu;no;N/A;2;1
24;tenyek.hu;no;N/A;2;0
25;videa.hu;yes;yes;2;2
26;444.hu;yes;yes;2;2
27;napi.hu;yes;yes;2;2
28;port.hu;no;N/A;2;0
29;idokep.hu;yes;yes;4;1
30;sobors.hu;no;N/A;2;0
31;noizz.hu;no;N/A;4;4
32;glamour.hu;no;N/A;2;0
33;infostart.hu;no;N/A;2;0
34;minden-egyben.com;no;N/A;2;0
35;metropol.hu;no;N/A;2;2
36;vg.hu;no;N/A;2;2
37;blog.hu;no;N/A;2;0
38;streetkitchen.hu;no;N/A;3;2
39;divany.hu;no;N/A;2;0
40;joy.hu;no;N/A;2;0
41;marieclaire.hu;no;N/A;3;0
42;egeszsegkalauz.hu;no;N/A;2;0
43;filantropikum.com;no;N/A;3;0
44;twice.hu;no;N/A;3;0
45;mafab.hu;yes;yes;2;2
46;hasznaltauto.hu;no;N/A;2;1
47;m4sport.hu;no;N/A;2;1
48;velvet.hu;no;N/A;2;0
49;hellovidek.hu;no;N/A;2;1
50;hirado.hu;no;N/A;2;1
51;receptneked.hu;no;N/A;3;3
52;webbeteg.hu;yes;yes;2;2
53;forbes.hu;no;N/A;4;4
54;kekvillogo.hu;yes;yes;2;2
55;story.hu;no;N/A;3;0
56;mandiner.hu;no;N/A;2;2
57;ingatlan.com;yes;no;2;2
58;menetrendek.hu;no;N/A;2;2
59;hirstart.hu;no;N/A;4;4
