# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;index.hu;yes;yes;2;0
2;blikk.hu;no;N/A;2;1
3;24.hu;no;N/A;4;4
4;portfolio.hu;no;N/A;2;1
5;telex.hu;yes;yes;2;2
6;origo.hu;yes;yes;3;2
7;hvg.hu;yes;yes;2;2
8;444.hu;yes;yes;2;2
9;ripost.hu;yes;yes;2;2
10;nlc.hu;no;N/A;4;4
11;femina.hu;yes;yes;2;0
12;borsonline.hu;no;N/A;2;2
13;infostart.hu;no;N/A;2;0
14;penzcentrum.hu;no;N/A;2;1
15;napi.hu;yes;yes;2;2
16;mandiner.hu;no;N/A;2;2
17;freemail.hu;no;N/A;2;0
18;haszon.hu;no;N/A;3;0
19;life.hu;yes;yes;3;2
20;szeretlekmagyarorszag.hu;yes;yes;2;2
21;startlap.hu;no;N/A;4;4
22;promotions.hu;no;N/A;2;0
23;idokep.hu;no;N/A;4;1
24;nosalty.hu;no;N/A;4;4
25;atv.hu;no;N/A;3;0
26;jofogas.hu;no;N/A;2;1
27;nemzetisport.hu;no;N/A;2;2
28;hasznaltauto.hu;no;N/A;2;1
29;hirado.hu;no;N/A;2;1
30;vg.hu;no;N/A;2;2
31;nepszava.hu;yes;yes;2;2
32;cosmopolitan.hu;no;N/A;3;0
33;videa.hu;yes;yes;2;0
34;168.hu;no;N/A;3;0
35;hazipatika.com;no;N/A;4;4
36;mindmegette.hu;no;N/A;2;2
37;vezess.hu;no;N/A;4;4
38;webbeteg.hu;yes;yes;2;2
39;femcafe.hu;no;N/A;3;3
40;port.hu;no;N/A;2;0
41;privatbankar.hu;no;N/A;2;0
42;magyarnemzet.hu;yes;yes;2;2
43;joy.hu;no;N/A;2;0
44;hirstart.hu;no;N/A;4;4
45;blog.hu;no;N/A;2;0
46;divany.hu;no;N/A;2;0
47;liner.hu;yes;yes;2;2
48;menetrendek.hu;no;N/A;2;2
49;metropol.hu;no;N/A;2;2
50;profession.hu;no;N/A;2;0
51;tv2play.hu;no;N/A;2;0
52;agroinform.hu;no;N/A;4;0
53;totalcar.hu;no;N/A;2;0
54;player.hu;no;N/A;2;0
55;hirklikk.hu;no;N/A;2;0
56;tenyek.hu;no;N/A;2;0
57;citromail.hu;no;N/A;4;4
58;streetkitchen.hu;no;N/A;3;2
59;eredmenyek.com;no;N/A;3;3
60;story.hu;no;N/A;3;0
61;mfor.hu;no;N/A;2;0
62;m4sport.hu;no;N/A;2;1
