# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;blikk.hu;no;N/A;2;1
2;24.hu;no;N/A;4;4
3;index.hu;yes;yes;2;0
4;origo.hu;yes;yes;3;2
5;femina.hu;yes;yes;2;0
6;portfolio.hu;no;N/A;2;1
7;nlc.hu;no;N/A;4;4
8;ripost.hu;yes;yes;2;2
9;borsonline.hu;no;N/A;2;2
10;promotions.hu;no;N/A;2;0
11;penzcentrum.hu;no;N/A;2;1
12;telex.hu;yes;yes;2;2
13;hvg.hu;yes;yes;2;2
14;nosalty.hu;no;N/A;4;4
15;mindmegette.hu;no;N/A;2;2
16;life.hu;yes;yes;3;2
17;rtl.hu;yes;yes;2;0
18;idokep.hu;no;N/A;4;1
19;jofogas.hu;no;N/A;2;1
20;444.hu;yes;yes;2;2
21;hirado.hu;no;N/A;2;1
22;szeretlekmagyarorszag.hu;yes;yes;2;2
23;hazipatika.com;no;N/A;4;4
24;napi.hu;yes;yes;2;2
25;tenyek.hu;no;N/A;2;0
26;vezess.hu;no;N/A;4;4
27;egeszsegkalauz.hu;no;N/A;2;0
28;noizz.hu;no;N/A;4;4
29;port.hu;no;N/A;2;0
30;kiskegyed.hu;no;N/A;2;0
31;startlap.hu;no;N/A;4;4
32;hasznaltauto.hu;no;N/A;2;1
33;webbeteg.hu;yes;yes;2;2
34;vg.hu;no;N/A;2;2
35;hirtv.hu;no;N/A;3;2
36;ingatlan.com;yes;no;2;2
37;blog.hu;no;N/A;2;0
38;metropol.hu;no;N/A;2;2
39;infostart.hu;no;N/A;2;0
40;divany.hu;no;N/A;2;0
41;glamour.hu;no;N/A;2;0
42;videa.hu;yes;yes;2;0
43;agrarszektor.hu;no;N/A;2;1
44;atv.hu;no;N/A;4;4
45;player.hu;no;N/A;2;0
46;nepszava.hu;yes;yes;2;2
47;szon.hu;yes;yes;2;2
48;joy.hu;no;N/A;2;0
49;168.hu;no;N/A;3;0
50;mandiner.hu;no;N/A;2;2
51;femcafe.hu;no;N/A;3;3
52;magyarnemzet.hu;yes;yes;2;2
53;nemzetisport.hu;no;N/A;2;2
54;agroinform.hu;no;N/A;4;0
55;liner.hu;yes;yes;2;2
56;elle.hu;no;N/A;2;0
57;forbes.hu;no;N/A;4;4
58;filantropikum.com;no;N/A;3;0
59;m4sport.hu;no;N/A;2;1
60;menetrendek.hu;no;N/A;2;2
61;totalcar.hu;no;N/A;2;0
62;streetkitchen.hu;no;N/A;3;2
63;velvet.hu;no;N/A;2;0
