# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;24.hu;yes;yes;4;4
2;blikk.hu;no;N/A;2;2
3;origo.hu;yes;yes;2;2
4;index.hu;yes;yes;2;0
5;femina.hu;yes;yes;2;0
6;ripost.hu;yes;yes;2;2
7;nlc.hu;no;N/A;4;4
8;borsonline.hu;no;N/A;2;2
9;mindmegette.hu;no;N/A;2;2
10;nosalty.hu;no;N/A;4;4
11;promotions.hu;no;N/A;2;0
12;telex.hu;yes;yes;2;2
13;portfolio.hu;no;N/A;2;1
14;hazipatika.com;no;N/A;4;4
15;hvg.hu;yes;yes;2;2
16;penzcentrum.hu;no;N/A;2;1
17;metropol.hu;no;N/A;2;2
18;life.hu;yes;yes;2;2
19;kiskegyed.hu;no;N/A;2;0
20;rtl.hu;yes;yes;2;0
21;jofogas.hu;no;N/A;2;1
22;videa.hu;yes;yes;2;2
23;atv.hu;yes;yes;2;2
24;hirado.hu;no;N/A;2;1
25;idokep.hu;yes;yes;4;1
26;444.hu;yes;yes;2;2
27;joy.hu;no;N/A;2;0
28;port.hu;no;N/A;2;0
29;egeszsegkalauz.hu;no;N/A;2;0
30;startlap.hu;no;N/A;4;4
31;hasznaltauto.hu;no;N/A;2;1
32;glamour.hu;no;N/A;2;0
33;vezess.hu;no;N/A;4;4
34;szeretlekmagyarorszag.hu;yes;yes;2;2
35;vg.hu;no;N/A;2;2
36;napi.hu;yes;yes;2;2
37;divany.hu;no;N/A;2;0
38;minden-egyben.com;no;N/A;2;0
39;marieclaire.hu;no;N/A;3;0
40;ingatlan.com;yes;no;2;2
41;infostart.hu;no;N/A;2;0
42;mandiner.hu;no;N/A;2;2
43;blog.hu;no;N/A;2;0
44;noizz.hu;no;N/A;4;4
45;magyarnemzet.hu;yes;yes;2;2
46;sobors.hu;no;N/A;2;0
47;twice.hu;no;N/A;3;0
48;tenyek.hu;no;N/A;2;0
49;mafab.hu;yes;yes;2;2
50;hellovidek.hu;no;N/A;2;1
51;webbeteg.hu;yes;yes;2;2
52;story.hu;no;N/A;3;0
53;profession.hu;no;N/A;2;0
54;kekvillogo.hu;yes;yes;2;2
55;femcafe.hu;yes;yes;2;2
56;budapestkornyeke.hu;yes;yes;2;2
57;evamagazin.hu;no;N/A;2;0
58;menetrendek.hu;no;N/A;2;2
59;gyerekszoba.hu;yes;yes;2;2
